year,coc_number,coc_name,coc_category,pit_overall_homeless,pit_sheltered_es_homeless,pit_sheltered_th_homeless,pit_sheltered_sh_homeless,pit_sheltered_total_homeless,pit_unsheltered_homeless,pit_homeless_individuals,pit_sheltered_es_homeless_individuals,pit_sheltered_th_homeless_individuals,pit_sheltered_sh_homeless_individuals,pit_sheltered_total_homeless_individuals,pit_unsheltered_homeless_individuals,pit_homeless_people_in_families,pit_sheltered_es_homeless_people_in_families,pit_sheltered_th_homeless_people_in_families,pit_sheltered_total_homeless_people_in_families,pit_unsheltered_homeless_people_in_families,pit_homeless_family_households,pit_sheltered_es_homeless_family_households,pit_sheltered_th_homeless_family_households,pit_sheltered_total_homeless_family_households,pit_unsheltered_homeless_family_households,pit_chronically_homeless,pit_sheltered_es_chronically_homeless,pit_sheltered_sh_chronically_homeless,pit_sheltered_total_chronically_homeless,pit_unsheltered_chronically_homeless,pit_chronically_homeless_individuals,pit_sheltered_es_chronically_homeless_individuals,pit_sheltered_sh_chronically_homeless_individuals,pit_sheltered_total_chronically_homeless_individuals,pit_unsheltered_chronically_homeless_individuals,pit_chronically_homeless_people_in_families,pit_sheltered_es_chronically_homeless_people_in_families,pit_sheltered_total_chronically_homeless_people_in_families,pit_unsheltered_chronically_homeless_people_in_families,pit_homeless_veterans,pit_sheltered_es_homeless_veterans,pit_sheltered_th_homeless_veterans,pit_sheltered_sh_homeless_veterans,pit_sheltered_total_homeless_veterans,pit_unsheltered_homeless_veterans,pit_homeless_unaccompanied_youth_under_25,pit_sheltered_es_homeless_unaccompanied_youth_under_25,pit_sheltered_th_homeless_unaccompanied_youth_under_25,pit_sheltered_sh_homeless_unaccompanied_youth_under_25,pit_sheltered_total_homeless_unaccompanied_youth_under_25,pit_unsheltered_homeless_unaccompanied_youth_under_25,pit_homeless_unaccompanied_youth_under_18,pit_sheltered_es_homeless_unaccompanied_youth_under_18,pit_sheltered_th_homeless_unaccompanied_youth_under_18,pit_sheltered_sh_homeless_unaccompanied_youth_under_18,pit_sheltered_total_homeless_unaccompanied_youth_under_18,pit_unsheltered_homeless_unaccompanied_youth_under_18,pit_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_es_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_th_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_sh_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_total_homeless_unaccompanied_youth_age_18_to_24,pit_unsheltered_homeless_unaccompanied_youth_age_18_to_24,pit_homeless_parenting_youth_under_25,pit_sheltered_es_homeless_parenting_youth_under_25,pit_sheltered_th_homeless_parenting_youth_under_25,pit_sheltered_total_homeless_parenting_youth_under_25,pit_unsheltered_homeless_parenting_youth_under_25,pit_homeless_parenting_youth_under_18,pit_sheltered_es_homeless_parenting_youth_under_18,pit_sheltered_th_homeless_parenting_youth_under_18,pit_sheltered_total_homeless_parenting_youth_under_18,pit_unsheltered_homeless_parenting_youth_under_18,pit_homeless_parenting_youth_age_18_to_24,pit_sheltered_es_homeless_parenting_youth_age_18_to_24,pit_sheltered_th_homeless_parenting_youth_age_18_to_24,pit_sheltered_total_homeless_parenting_youth_age_18_to_24,pit_unsheltered_homeless_parenting_youth_age_18_to_24,pit_homeless_children_of_parenting_youth,pit_sheltered_es_homeless_children_of_parenting_youth,pit_sheltered_th_homeless_children_of_parenting_youth,pit_sheltered_total_homeless_children_of_parenting_youth,pit_unsheltered_homeless_children_of_parenting_youth
2009,MD-504,Howard County CoC,Suburban CoCs,180,100,33,0,133,47,88,43,0,0,43,45,92,57,33,90,2,30,21,8,29,1,,,0,,,58,17,0,17,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MD-505,Baltimore County CoC,Suburban CoCs,1520,924,190,0,1114,406,1179,707,130,0,837,342,341,217,60,277,64,131,84,22,106,25,,,0,,,76,52,0,52,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MD-506,Carroll County CoC,Suburban CoCs,151,69,54,0,123,28,116,44,54,0,98,18,35,25,0,25,10,12,8,0,8,4,,,0,,,29,21,0,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MD-507,Cecil County CoC,Suburban CoCs,173,64,82,0,146,27,90,32,37,0,69,21,83,32,45,77,6,36,15,19,34,2,,,0,,,40,25,0,25,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MD-508,"Charles, Calvert, St.Mary's Counties CoC",Suburban CoCs,2560,314,222,0,536,2024,640,134,90,0,224,416,1920,180,132,312,1608,594,55,39,94,500,,,0,,,456,129,0,129,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MD-509,Frederick City & County CoC,Suburban CoCs,324,107,150,0,257,67,186,83,66,0,149,37,138,24,84,108,30,46,8,28,36,10,,,0,,,66,39,0,39,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MD-510,Garrett County CoC,Rural CoCs,11,1,3,0,4,7,11,1,3,0,4,7,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MD-511,Mid-Shore Regional CoC,Rural CoCs,144,122,16,0,138,6,85,72,7,0,79,6,59,50,9,59,0,16,13,3,16,0,,,0,,,8,7,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MD-512,Hagerstown/Washington County CoC,Suburban CoCs,137,99,11,0,110,27,60,42,11,0,53,7,77,57,0,57,20,28,21,0,21,7,,,0,,,19,15,0,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MD-513,"Wicomico, Somerset, Worcester Counties CoC",Rural CoCs,283,162,78,0,240,43,202,124,35,0,159,43,81,38,43,81,0,34,15,19,34,0,,,0,,,55,37,0,37,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MD-600,Prince George's County CoC,Suburban CoCs,853,348,423,0,771,82,419,167,170,0,337,82,434,181,253,434,0,121,53,68,121,0,,,0,,,107,57,0,57,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MD-601,Montgomery County CoC,Suburban CoCs,1247,677,443,0,1120,127,721,402,192,0,594,127,526,275,251,526,0,168,90,78,168,0,,,0,,,173,136,0,136,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,ME-500,Maine Statewide CoC,Rural CoCs,2444,843,1563,0,2406,38,1124,555,537,0,1092,32,1320,288,1026,1314,6,445,99,344,443,2,,,0,,,186,178,0,178,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-500,Michigan Balance of State CoC,Rural CoCs,2953,913,1118,0,2031,922,1151,355,261,0,616,535,1802,558,857,1415,387,619,208,284,492,127,,,0,,,211,130,0,130,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-501,Detroit CoC,Major Cities,3694,2058,1374,0,3432,262,2969,1751,956,0,2707,262,725,307,418,725,0,230,93,137,230,0,,,0,,,446,369,0,369,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",Suburban CoCs,428,179,243,0,422,6,159,81,72,0,153,6,269,98,171,269,0,68,25,43,68,0,,,0,,,26,24,0,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-503,"St. Clair Shores, Warren/Macomb County CoC",Suburban CoCs,877,240,52,0,292,585,589,204,46,0,250,339,288,36,6,42,246,86,13,2,15,71,,,0,,,259,85,0,85,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-504,"Pontiac, Royal Oak/Oakland County CoC",Suburban CoCs,661,101,280,0,381,280,419,50,127,0,177,242,242,51,153,204,38,78,15,51,66,12,,,0,,,58,44,0,44,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-505,Flint/Genesee County CoC,Suburban CoCs,275,156,37,0,193,82,154,86,8,0,94,60,121,70,29,99,22,39,23,8,31,8,,,0,,,56,21,0,21,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-506,"Grand Rapids, Wyoming/Kent County CoC",Other Urban CoCs,868,334,500,0,834,34,390,231,135,0,366,24,478,103,365,468,10,172,36,131,167,5,,,0,,,142,118,0,118,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-507,"Portage, Kalamazoo City & County CoC",Other Urban CoCs,985,395,576,0,971,14,426,267,145,0,412,14,559,128,431,559,0,166,44,122,166,0,,,0,,,38,33,0,33,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-508,"Lansing, East Lansing/Ingham County CoC",Other Urban CoCs,416,239,157,0,396,20,225,131,74,0,205,20,191,108,83,191,0,61,33,28,61,0,,,0,,,131,123,0,123,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-509,Washtenaw County CoC,Suburban CoCs,342,214,93,0,307,35,210,133,44,0,177,33,132,81,49,130,2,37,21,15,36,1,,,0,,,60,38,0,38,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-510,Saginaw City & County CoC,Suburban CoCs,305,111,167,0,278,27,176,61,88,0,149,27,129,50,79,129,0,43,22,21,43,0,,,0,,,71,57,0,57,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-511,Lenawee County CoC,Rural CoCs,114,63,46,0,109,5,29,22,5,0,27,2,85,41,41,82,3,26,14,11,25,1,,,0,,,7,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",Rural CoCs,281,108,171,0,279,2,133,96,35,0,131,2,148,12,136,148,0,62,5,57,62,0,,,0,,,21,19,0,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-513,"Marquette, Alger Counties CoC",Rural CoCs,68,26,37,0,63,5,28,19,4,0,23,5,40,7,33,40,0,14,3,11,14,0,,,0,,,3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-514,Battle Creek/Calhoun County CoC,Other Urban CoCs,238,98,87,0,185,53,176,62,66,0,128,48,62,36,21,57,5,21,14,6,20,1,,,0,,,59,59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-515,Monroe City & County CoC,Suburban CoCs,140,50,86,0,136,4,75,29,45,0,74,1,65,21,41,62,3,30,9,20,29,1,,,0,,,17,16,0,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-516,"Norton Shores, Muskegon City & County CoC",Suburban CoCs,466,96,49,0,145,321,254,48,30,0,78,176,212,48,19,67,145,79,15,5,20,59,,,0,,,24,18,0,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-517,Jackson City & County CoC,Rural CoCs,323,107,197,0,304,19,121,59,43,0,102,19,202,48,154,202,0,64,14,50,64,0,,,0,,,13,1,0,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-518,Livingston County CoC,Suburban CoCs,121,85,23,0,108,13,46,32,1,0,33,13,75,53,22,75,0,23,17,6,23,0,,,0,,,4,3,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-519,Holland/Ottawa County CoC,Suburban CoCs,299,93,204,0,297,2,113,62,49,0,111,2,186,31,155,186,0,56,10,46,56,0,,,0,,,3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-523,Eaton County CoC,Suburban CoCs,151,59,76,0,135,16,14,4,2,0,6,8,137,55,74,129,8,38,18,17,35,3,,,0,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MN-500,Minneapolis/Hennepin County CoC,Major Cities,3281,1920,1105,0,3025,256,1551,955,371,0,1326,225,1730,965,734,1699,31,495,267,219,486,9,,,0,,,775,670,0,670,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MN-501,Saint Paul/Ramsey County CoC,Other Urban CoCs,1377,575,709,0,1284,93,693,389,215,0,604,89,684,186,494,680,4,239,66,172,238,1,,,0,,,233,181,0,181,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MN-502,Rochester/Southeast Minnesota CoC,Rural CoCs,417,197,216,0,413,4,124,93,27,0,120,4,293,104,189,293,0,97,35,62,97,0,,,0,,,70,66,0,66,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",Suburban CoCs,840,286,447,0,733,107,196,67,64,0,131,65,644,219,383,602,42,207,72,120,192,15,,,0,,,72,48,0,48,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MN-504,Northeast Minnesota CoC,Rural CoCs,210,31,89,0,120,90,69,19,8,0,27,42,141,12,81,93,48,45,4,28,32,13,,,0,,,35,12,0,12,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MN-505,St. Cloud/Central Minnesota CoC,Rural CoCs,451,163,180,0,343,108,228,85,68,0,153,75,223,78,112,190,33,72,27,39,66,6,,,0,,,102,73,0,73,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MN-506,Northwest Minnesota CoC,Rural CoCs,261,70,155,0,225,36,87,35,28,0,63,24,174,35,127,162,12,54,11,37,48,6,,,0,,,41,28,0,28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MN-508,Moorhead/West Central Minnesota CoC,Rural CoCs,272,53,139,0,192,80,126,14,54,0,68,58,146,39,85,124,22,45,13,26,39,6,,,0,,,22,10,0,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MN-509,Duluth/St.Louis County CoC,Rural CoCs,504,129,227,0,356,148,262,69,60,0,129,133,242,60,167,227,15,93,28,61,89,4,,,0,,,87,33,0,33,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MN-511,Southwest Minnesota CoC,Rural CoCs,105,55,26,0,81,24,57,32,15,0,47,10,48,23,11,34,14,15,7,4,11,4,,,0,,,12,8,0,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MO-500,St. Louis County CoC,Suburban CoCs,643,282,132,0,414,229,221,89,42,0,131,90,422,193,90,283,139,132,67,28,95,37,,,0,,,74,63,0,63,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MO-501,St.Louis City CoC,Other Urban CoCs,1306,580,393,0,973,333,842,427,184,0,611,231,464,153,209,362,102,161,54,78,132,29,,,0,,,147,136,0,136,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",Suburban CoCs,830,113,436,0,549,281,338,58,150,0,208,130,492,55,286,341,151,175,19,108,127,48,,,0,,,37,26,0,26,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MO-600,"Springfield/Greene, Christian, Webster Counties CoC",Other Urban CoCs,418,102,281,0,383,35,201,40,137,0,177,24,217,62,144,206,11,71,19,47,66,5,,,0,,,22,0,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MO-602,"Joplin/Jasper, Newton Counties CoC",Rural CoCs,322,102,183,0,285,37,261,90,134,0,224,37,61,12,49,61,0,21,4,17,21,0,,,0,,,25,23,0,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",Other Urban CoCs,159,105,50,0,155,4,96,74,18,0,92,4,63,31,32,63,0,23,14,9,23,0,,,0,,,32,28,0,28,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MO-604a,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",Major Cities,1809,835,735,0,1570,239,1116,555,360,0,915,201,693,280,375,655,38,215,87,116,203,12,,,0,,,404,278,0,278,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MO-606,Missouri Balance of State CoC,Rural CoCs,1694,820,500,0,1320,374,886,410,261,0,671,215,808,410,239,649,159,256,137,71,208,48,,,0,,,194,166,0,166,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MS-500,"Jackson/Rankin, Madison Counties CoC",Suburban CoCs,922,135,291,0,426,496,693,108,188,0,296,397,229,27,103,130,99,73,8,35,43,30,,,0,,,312,87,0,87,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MS-501,Mississippi Balance of State CoC,Rural CoCs,1242,346,314,0,660,582,581,132,145,0,277,304,661,214,169,383,278,199,61,45,106,93,,,0,,,125,59,0,59,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MS-503,Gulf Port/Gulf Coast Regional CoC,Rural CoCs,633,43,92,0,135,498,569,21,61,0,82,487,64,22,31,53,11,29,9,15,24,5,,,0,,,85,6,0,6,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MT-500,Montana Statewide CoC,Rural CoCs,1196,404,429,0,833,363,752,268,213,0,481,271,444,136,216,352,92,133,40,71,111,22,,,0,,,160,107,0,107,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NC-500,Winston-Salem/Forsyth County CoC,Other Urban CoCs,489,291,130,0,421,68,395,265,62,0,327,68,94,26,68,94,0,33,8,25,33,0,,,0,,,119,116,0,116,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NC-501,Asheville/Buncombe County CoC,Suburban CoCs,518,179,247,0,426,92,432,157,183,0,340,92,86,22,64,86,0,35,11,24,35,0,,,0,,,180,147,0,147,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NC-502,Durham City & County CoC,Other Urban CoCs,536,275,227,0,502,34,437,221,182,0,403,34,99,54,45,99,0,34,18,16,34,0,,,0,,,142,108,0,108,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NC-503,North Carolina Balance of State CoC,Rural CoCs,2821,1359,650,0,2009,812,1860,846,380,0,1226,634,961,513,270,783,178,328,171,91,262,66,,,0,,,180,140,0,140,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NC-504,"Greensboro, High Point CoC",Other Urban CoCs,1078,478,470,0,948,130,746,363,265,0,628,118,332,115,205,320,12,99,33,63,96,3,,,0,,,82,56,0,56,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NC-505,Charlotte/Mecklenberg CoC,Major Cities,2594,1128,916,0,2044,550,1930,802,581,0,1383,547,664,326,335,661,3,176,104,71,175,1,,,0,,,374,343,0,343,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",Suburban CoCs,630,205,263,0,468,162,343,140,109,0,249,94,287,65,154,219,68,107,20,59,79,28,,,0,,,118,73,0,73,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NC-507,Raleigh/Wake County CoC,Major Cities,1152,508,397,0,905,247,881,334,300,0,634,247,271,174,97,271,0,79,52,27,79,0,,,0,,,54,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",Suburban CoCs,580,194,30,0,224,356,427,134,12,0,146,281,153,60,18,78,75,51,21,6,27,24,,,0,,,24,10,0,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NC-511,Fayetteville/Cumberland County CoC,Other Urban CoCs,965,90,173,0,263,702,411,68,8,0,76,335,554,22,165,187,367,145,7,45,52,93,,,0,,,45,19,0,19,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NC-513,Chapel Hill/Orange County CoC,Other Urban CoCs,156,81,70,0,151,5,110,81,24,0,105,5,46,0,46,46,0,19,0,19,19,0,,,0,,,42,37,0,37,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NC-516,Northwest North Carolina CoC,Rural CoCs,1399,85,27,0,112,1287,1187,39,20,0,59,1128,212,46,7,53,159,78,16,3,19,59,,,0,,,130,4,0,4,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,ND-500,North Dakota Statewide CoC,Rural CoCs,773,487,278,0,765,8,548,329,211,0,540,8,225,158,67,225,0,72,49,23,72,0,,,0,,,70,66,0,66,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NE-500,Nebraska Balance of State CoC,Rural CoCs,1483,440,491,0,931,552,662,210,211,0,421,241,821,230,280,510,311,252,62,94,156,96,,,0,,,99,54,0,54,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NE-501,"Omaha, Council Bluffs CoC",Major Cities,1262,783,418,0,1201,61,958,669,228,0,897,61,304,114,190,304,0,98,38,60,98,0,,,0,,,322,297,0,297,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NE-502,Lincoln CoC,Other Urban CoCs,973,370,577,0,947,26,452,177,252,0,429,23,521,193,325,518,3,180,55,124,179,1,,,0,,,74,62,0,62,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NH-500,New Hampshire Balance of State CoC,Rural CoCs,769,531,188,0,719,50,397,276,79,0,355,42,372,255,109,364,8,122,80,39,119,3,,,0,,,202,177,0,177,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NH-501,Manchester CoC,Other Urban CoCs,508,147,190,0,337,171,316,96,56,0,152,164,192,51,134,185,7,73,17,54,71,2,,,0,,,59,52,0,52,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NH-502,Nashua/Hillsborough County CoC,Suburban CoCs,368,214,136,0,350,18,178,107,56,0,163,15,190,107,80,187,3,64,34,29,63,1,,,0,,,69,56,0,56,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NJ-500,Atlantic City & County CoC,Suburban CoCs,461,339,0,0,339,122,315,218,0,0,218,97,146,121,0,121,25,52,42,0,42,10,,,0,,,66,35,0,35,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NJ-501,Bergen County CoC,Suburban CoCs,1433,340,1014,0,1354,79,572,192,321,0,513,59,861,148,693,841,20,313,59,246,305,8,,,0,,,75,48,0,48,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NJ-502,Burlington County CoC,Suburban CoCs,979,699,250,0,949,30,382,297,61,0,358,24,597,402,189,591,6,182,124,55,179,3,,,0,,,82,75,0,75,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",Suburban CoCs,1116,775,147,0,922,194,603,362,110,0,472,131,513,413,37,450,63,176,141,13,154,22,,,0,,,93,72,0,72,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NJ-504,Newark/Essex County CoC,Suburban CoCs,1730,1132,407,0,1539,191,764,518,97,0,615,149,966,614,310,924,42,307,194,99,293,14,,,0,,,125,92,0,92,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NJ-506,"Jersey City, Bayonne/Hudson County CoC",Suburban CoCs,1779,1374,276,0,1650,129,563,378,89,0,467,96,1216,996,187,1183,33,448,369,68,437,11,,,0,,,72,45,0,45,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NJ-507,New Brunswick/Middlesex County CoC,Suburban CoCs,796,311,272,0,583,213,432,178,107,0,285,147,364,133,165,298,66,133,49,58,107,26,,,0,,,45,25,0,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NJ-508,Monmouth County CoC,Suburban CoCs,676,400,238,0,638,38,300,224,53,0,277,23,376,176,185,361,15,134,59,70,129,5,,,0,,,72,61,0,61,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NJ-509,Morris County CoC,Suburban CoCs,302,177,80,0,257,45,151,79,29,0,108,43,151,98,51,149,2,55,36,18,54,1,,,0,,,46,27,0,27,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NJ-510,Lakewood Township/Ocean County CoC,Suburban CoCs,453,358,48,0,406,47,253,196,17,0,213,40,200,162,31,193,7,67,51,13,64,3,,,0,,,46,40,0,40,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NJ-511,Paterson/Passaic County CoC,Suburban CoCs,306,184,23,0,207,99,179,97,15,0,112,67,127,87,8,95,32,41,28,2,30,11,,,0,,,38,18,0,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
