year,state,coc_name,coc_number,spm0_coc_award_amount,ahar_part_1_coc_category,spm0_total_non_dv_beds_on_hic_es_th,spm0_total_non_dv_hmis_beds_on_hic_es_th,spm1_es_sh_avg_days,spm1_es_sh_median_days,spm1_es_sh_th_avg_days,spm1_es_sh_th_median_days,spm2_total_persons_exited_so_es_th_sh_ph,spm2_total_persons_returns_in_6_mths,spm2_total_persons_returns_in_12_mths_should_include_the_6_month_cohort,spm2_total_persons_returns_in_24_mths_should_include_both_the_6_and_12_month_cohort,spm3_total_hmis_count,spm4s_total_stayers_persons,spm4s_total_stayers_increased_earned_income,spm4s_total_stayers_increased_non_employment_cash_income,spm4s_total_stayers_increased_total_income,spm4l_total_leavers_persons,spm4l_total_leavers_increased_earned_income,spm4l_total_leavers_increased_non_employment_cash_income,spm4l_total_leavers_increased_total_income,spm5_es_sh_th_1st_time_homeless,spm5_es_sh_th_ph_1st_time_homeless,spm7_total_persons_exiting_street_outreach_so,spm7_total_persons_exited_so_to_temporary_destinations,spm7_total_persons_exited_so_to_permanent_destinations,spm7_total_persons_exiting_es_th_sh_ph_rrh,spm7_total_persons_exiting_es_th_sh_ph_rrh_to_permanent_housing,spm7_total_persons_exiting_ph_or_remaining_in_ph_at_end_of_reporting_period_measure_excludes_ph_rrh,spm7_total_persons_exited_ph_to_permanent_destinations_or_remained_in_ph_for_6_mos_measure_excludes_ph_rrh
2017,NM,Albuquerque CoC,NM-500,5432713,Major Cities,608,379,42,27,66,35,1489,122,203,287,2881,336,18,76,94,214,32,65,89,1958,2622,38,12,17,2920,1023,1317,1220
2017,NM,New Mexico Balance of State CoC,NM-501,4978569,Balance of State and Statewide CoCs,539,299,40,18,68,22,981,78,112,154,1837,258,21,93,103,264,36,81,109,1422,2010,144,5,4,1831,638,1023,961
2017,NV,Las Vegas/Clark County CoC,NV-500,13204268,Major Cities,1998,1820,39,10,62,14,3950,471,647,916,10798,444,17,162,174,735,130,106,230,7113,8382,864,4,27,10334,3301,1077,984
2017,NV,"Reno, Sparks/Washoe County CoC",NV-501,1654208,"Smaller Cities, Counties, and Regional CoCs",880,637,55,35,91,48,1438,236,340,431,3123,113,2,24,24,28,1,5,5,1811,2066,631,169,36,2508,800,560,487
2017,NV,Nevada Balance of State CoC,NV-502,539475,Balance of State and Statewide CoCs,121,104,41,26,88,31,401,20,24,31,441,21,3,5,7,81,21,4,25,331,454,13,1,11,478,173,206,195
2017,NY,"Rochester, Irondequoit, Greece/Monroe County CoC",NY-500,12080024,"Smaller Cities, Counties, and Regional CoCs",588,467,25,18,32,20,2605,228,378,653,5422,849,71,250,285,412,72,183,232,3890,4085,78,17,31,4827,2091,1953,1809
2017,NY,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC ",NY-501,1497301,"Smaller Cities, Counties, and Regional CoCs",95,94,33,20,60,25,716,36,50,70,847,64,6,31,35,78,12,20,30,660,998,8,0,4,995,622,218,203
2017,NY,Albany City & County CoC,NY-503,4935437,"Smaller Cities, Counties, and Regional CoCs",448,274,47,28,65,31,1084,74,131,183,2067,316,42,60,95,139,43,19,59,1431,1735,83,5,66,1949,676,1089,1058
2017,NY,Cattaragus County CoC,NY-504,318746,"Smaller Cities, Counties, and Regional CoCs",42,31,23,20,23,20,85,1,5,10,255,21,2,3,4,19,5,2,7,233,226,0,0,0,228,112,85,71
2017,NY,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",NY-505,8475964,"Smaller Cities, Counties, and Regional CoCs",727,673,36,22,54,25,2641,359,566,720,5481,474,34,78,105,423,61,182,226,3444,3576,245,29,35,4635,2171,1421,1340
2017,NY,Schenectady City & County CoC,NY-507,3859980,"Smaller Cities, Counties, and Regional CoCs",159,146,54,34,65,34,1059,47,78,119,1944,177,26,50,73,124,22,53,69,1476,1764,0,0,0,1675,775,508,474
2017,NY,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",NY-508,11655799,"Smaller Cities, Counties, and Regional CoCs",932,816,37,19,62,23,2101,158,285,431,5049,647,50,254,281,343,44,112,148,3766,4085,356,20,183,4705,1851,1060,1014
2017,NY,Ithaca/Tompkins County CoC,NY-510,209140,"Smaller Cities, Counties, and Regional CoCs",40,36,24,15,37,16,240,8,28,49,439,33,1,7,8,57,9,6,13,338,389,0,0,0,377,196,120,103
2017,NY,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties CoC",NY-511,1591655,"Smaller Cities, Counties, and Regional CoCs",235,219,25,13,58,15,479,22,36,65,1873,159,17,10,23,196,21,39,56,1452,1565,0,0,0,1550,768,439,383
2017,NY,Troy/Rensselaer County CoC,NY-512,3219814,"Smaller Cities, Counties, and Regional CoCs",89,87,34,20,42,23,631,46,62,110,811,201,12,80,89,54,7,28,34,655,811,51,11,25,817,404,564,532
2017,NY,"Wayne, Ontario, Seneca, Yates Counties CoC",NY-513,303702,"Smaller Cities, Counties, and Regional CoCs",335,335,50,30,82,45,12,0,1,8,835,0,0,0,0,0,0,0,0,738,801,0,0,0,657,204,142,124
2017,NY,"Jamestown, Dunkirk/Chautauqua County CoC",NY-514,201899,"Smaller Cities, Counties, and Regional CoCs",102,102,33,22,420,77,134,10,11,15,198,53,0,3,3,7,0,3,3,113,226,0,0,0,163,106,37,37
2017,NY,Clinton County CoC,NY-516,146634,"Smaller Cities, Counties, and Regional CoCs",125,125,134,84,134,84,349,16,32,43,73,12,0,3,3,0,0,0,0,47,63,5,0,2,47,31,75,72
2017,NY,"Utica, Rome/Oneida, Madison Counties CoC",NY-518,3200761,"Smaller Cities, Counties, and Regional CoCs",136,80,36,26,51,30,421,6,24,42,652,198,27,50,73,205,42,36,76,499,663,0,0,0,679,486,605,558
2017,NY,"Columbia, Greene Counties CoC",NY-519,450819,"Smaller Cities, Counties, and Regional CoCs",0,0,0,0,0,0,39,0,0,0,0,24,3,6,8,3,0,1,1,0,35,0,0,0,32,16,44,41
2017,NY,"Franklin, Essex Counties CoC",NY-520,80261,"Smaller Cities, Counties, and Regional CoCs",4,4,49,16,52,18,92,1,7,12,208,12,2,1,3,4,0,1,1,179,187,0,0,0,165,71,36,36
2017,NY,"Jefferson, Lewis, St. Lawrence Counties CoC",NY-522,1253146,"Smaller Cities, Counties, and Regional CoCs",60,60,16,10,67,16,635,24,51,90,730,69,7,19,26,154,12,19,28,571,909,0,0,0,1018,741,360,347
2017,NY,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC",NY-523,1529015,"Smaller Cities, Counties, and Regional CoCs",95,95,38,19,61,25,474,47,52,67,560,57,3,13,15,35,8,16,24,423,603,1,0,1,619,374,195,188
2017,NY,New York City CoC,NY-600,106684572,Major Cities,73955,71924,266,184,271,187,39595,4650,6493,9010,136002,5273,326,1989,2189,735,151,297,424,61716,62766,2663,975,479,76408,34947,11716,11463
2017,NY,Poughkeepsie/Dutchess County CoC,NY-601,1297157,"Smaller Cities, Counties, and Regional CoCs",342,341,63,28,154,48,532,92,112,134,1269,103,13,5,18,98,19,10,29,775,875,0,0,0,964,312,259,242
2017,NY,"Newburgh, Middletown/Orange County CoC",NY-602,2549566,"Smaller Cities, Counties, and Regional CoCs",262,242,53,33,65,40,712,55,95,190,1396,190,24,30,48,46,11,10,19,1031,1071,0,0,0,1070,490,0,0
2017,NY,"Nassau, Suffolk Counties CoC",NY-603,11808209,"Smaller Cities, Counties, and Regional CoCs",3219,3000,159,91,169,97,1915,104,174,278,6898,558,54,169,196,85,16,25,38,4227,4642,168,2,26,4479,1831,2127,1998
2017,NY,"Yonkers, Mount Vernon/Westchester County CoC",NY-604,17058955,"Smaller Cities, Counties, and Regional CoCs",1763,1763,109,49,212,102,1703,81,162,286,4745,966,63,277,324,390,69,83,134,2244,2436,26,17,7,3000,917,1477,1432
2017,NY,Rockland County CoC,NY-606,803640,"Smaller Cities, Counties, and Regional CoCs",76,56,50,16,52,17,41,1,5,6,239,17,1,2,3,1,1,0,1,148,162,0,0,0,217,54,94,94
2017,NY,Sullivan County CoC,NY-607,303643,"Smaller Cities, Counties, and Regional CoCs",109,58,33,18,33,18,723,44,76,89,713,25,0,4,4,723,0,0,0,628,633,0,0,0,713,641,35,26
2017,NY,Kingston/Ulster County CoC,NY-608,1138244,"Smaller Cities, Counties, and Regional CoCs",98,98,84,48,89,52,646,72,111,160,1479,33,5,4,9,57,9,19,28,969,1012,0,0,0,1168,778,247,216
2017,OH,Cincinnati/Hamilton County CoC,OH-500,16347894,"Smaller Cities, Counties, and Regional CoCs",839,839,48,32,64,37,4495,413,680,1049,6434,1259,108,432,523,767,193,180,345,4086,4543,789,268,215,5421,2653,2528,2468
2017,OH,Toledo/Lucas County CoC,OH-501,4143741,"Smaller Cities, Counties, and Regional CoCs",730,308,70,46,87,50,1375,76,122,236,1490,338,22,78,100,263,54,77,113,961,1307,110,4,22,1402,744,1014,975
2017,OH,Cleveland/Cuyahoga County CoC,OH-502,27022106,"Smaller Cities, Counties, and Regional CoCs",1563,1258,86,34,101,50,2625,514,687,900,6903,627,36,238,261,955,197,97,283,3922,4363,773,208,142,6131,2372,4134,4094
2017,OH,Columbus/Franklin County CoC,OH-503,11469253,Major Cities,1172,1149,51,39,55,40,5961,550,1036,1655,9684,1079,67,253,292,580,56,99,147,5716,5936,676,165,265,8688,4082,2912,2703
2017,OH,Youngstown/Mahoning County CoC,OH-504,1726847,"Smaller Cities, Counties, and Regional CoCs",248,224,69,18,90,28,519,58,83,130,1365,87,3,24,24,100,21,23,38,1008,1371,55,0,12,1331,411,557,530
2017,OH,"Dayton, Kettering/Montgomery County CoC",OH-505,9204284,"Smaller Cities, Counties, and Regional CoCs",480,480,35,16,51,19,2051,205,333,494,4323,644,98,263,331,281,70,66,128,2732,2901,373,95,207,3643,1151,1311,1246
2017,OH,"Akron, Barberton/Summit County CoC",OH-506,4575345,"Smaller Cities, Counties, and Regional CoCs",409,397,34,13,54,17,1113,89,137,210,3295,174,6,58,61,275,57,35,84,2214,2366,338,52,94,3116,1044,576,549
2017,OH,Ohio Balance of State CoC,OH-507,15821746,Balance of State and Statewide CoCs,2415,2019,38,26,62,32,10837,764,1252,1844,11717,1119,82,281,354,1446,347,284,585,8551,12077,186,14,51,13677,9977,3595,3476
2017,OH,"Canton, Massillon, Alliance/Stark County CoC",OH-508,2942080,"Smaller Cities, Counties, and Regional CoCs",248,241,60,44,81,49,239,11,18,29,1293,292,12,74,83,267,34,51,77,849,998,73,0,43,1062,660,598,554
2017,OK,North Central Oklahoma CoC,OK-500,257918,"Smaller Cities, Counties, and Regional CoCs",121,77,28,18,49,21,300,17,23,38,570,4,1,1,2,33,10,6,16,380,411,0,0,0,491,201,8,6
2017,OK,Tulsa City & County CoC,OK-501,2589093,Major Cities,714,666,83,14,89,14,564,48,75,107,5288,219,3,69,72,178,7,29,35,3201,3402,29,3,1,584,432,352,312
2017,OK,Oklahoma City CoC,OK-502,3558289,Major Cities,1222,1071,109,37,118,40,398,28,40,62,3224,246,31,44,74,183,29,40,63,2205,2500,61,4,4,2655,553,660,583
2017,OK,Oklahoma Balance of State CoC,OK-503,567890,Balance of State and Statewide CoCs,87,24,30,14,289,361,283,8,16,18,177,26,1,2,3,20,0,2,2,99,184,23,0,23,83,54,78,71
2017,OK,Norman/Cleveland County CoC,OK-504,402933,"Smaller Cities, Counties, and Regional CoCs",53,40,43,9,54,11,54,6,8,11,650,45,0,8,8,16,1,2,3,455,480,0,0,0,68,31,104,95
2017,OK,Northeast Oklahoma CoC,OK-505,352044,"Smaller Cities, Counties, and Regional CoCs",286,94,46,10,102,49,395,37,48,56,331,15,2,5,7,156,57,3,60,258,338,36,18,8,300,212,62,47
2017,OK,Southwest Oklahoma Regional CoC,OK-506,117578,"Smaller Cities, Counties, and Regional CoCs",215,118,564,76,573,76,108,16,18,22,275,0,0,0,0,0,0,0,0,143,199,1,1,0,193,92,8,8
2017,OK,Southeastern Oklahoma Regional CoC,OK-507,116835,"Smaller Cities, Counties, and Regional CoCs",203,42,34,2,34,2,688,36,48,83,685,5,0,0,0,8,2,1,2,580,1290,17,1,2,1369,895,55,44
2017,OR,"Eugene, Springfield/Lane County CoC",OR-500,3363526,"Smaller Cities, Counties, and Regional CoCs",542,542,52,9,63,10,839,108,148,174,4303,155,9,52,57,70,16,28,41,2799,3074,978,22,74,4162,614,686,653
2017,OR,"Portland, Gresham/Multnomah County CoC",OR-501,22269997,Major Cities,2418,2180,60,25,92,36,4518,362,715,1203,9548,1152,86,329,401,788,185,137,312,6365,8949,224,8,92,9767,3792,4249,4051
2017,OR,"Medford, Ashland/Jackson County CoC",OR-502,244882,"Smaller Cities, Counties, and Regional CoCs",304,167,20,6,92,22,523,26,43,56,889,26,0,0,0,86,7,6,12,720,1163,254,47,76,1040,387,342,302
2017,OR,Central Oregon CoC,OR-503,596396,"Smaller Cities, Counties, and Regional CoCs",248,179,47,25,54,28,563,58,90,116,1032,19,2,0,2,42,14,5,16,773,874,7,1,3,981,337,17,17
2017,OR,Oregon Balance of State CoC,OR-505,3065532,Balance of State and Statewide CoCs,2274,606,30,3,52,3,2434,84,141,213,3601,141,10,36,40,423,68,48,112,4187,6944,92,28,13,6194,2388,670,609
2017,OR,"Hillsboro, Beaverton/Washington County CoC",OR-506,3369507,"Smaller Cities, Counties, and Regional CoCs",216,206,56,42,104,53,513,20,32,58,762,198,18,83,92,73,14,21,31,537,661,229,17,18,639,352,283,261
2017,OR,Clackamas County CoC,OR-507,2353017,"Smaller Cities, Counties, and Regional CoCs",79,79,14,4,66,6,211,1,1,7,729,101,10,27,35,86,18,19,34,519,641,0,0,0,755,165,312,296
2017,PA,Philadelphia CoC,PA-500,32870833,Major Cities,5017,3720,155,97,217,142,2951,102,159,220,9649,2043,193,742,878,470,101,150,231,5247,5748,220,26,12,5815,1981,4123,3981
2017,PA,Harrisburg/Dauphin County CoC,PA-501,1671218,"Smaller Cities, Counties, and Regional CoCs",396,262,61,42,119,49,420,9,21,51,830,54,1,10,11,49,12,5,16,623,711,0,0,0,828,420,133,117
2017,PA,"Upper Darby, Chester, Haverford/Delaware County CoC",PA-502,4887497,"Smaller Cities, Counties, and Regional CoCs",420,366,88,67,114,72,566,21,34,59,1201,184,23,79,82,101,45,51,58,881,1040,44,16,7,1271,621,310,301
2017,PA,"Wilkes-Barre, Hazleton/Luzerne County CoC",PA-503,4021709,"Smaller Cities, Counties, and Regional CoCs",169,169,26,17,74,26,553,120,142,173,642,108,6,28,32,24,6,11,16,391,410,0,0,0,509,309,285,273
2017,PA,"Lower Merion, Norristown, Abington/Montgomery County CoC",PA-504,2888253,"Smaller Cities, Counties, and Regional CoCs",263,263,85,74,157,89,775,57,94,160,830,132,7,23,30,121,31,23,50,434,647,533,219,31,706,419,202,187
2017,PA,Chester County CoC,PA-505,1626834,"Smaller Cities, Counties, and Regional CoCs",436,387,66,44,123,80,1328,127,181,252,1707,121,6,23,25,78,25,15,27,1036,1172,123,37,78,1348,822,300,286
2017,PA,Reading/Berks County CoC,PA-506,2762261,"Smaller Cities, Counties, and Regional CoCs",422,422,80,45,130,66,1354,93,159,227,1595,116,11,30,37,164,46,24,66,1020,1287,46,26,12,1378,782,369,350
2017,PA,Scranton/Lackawanna County CoC,PA-508,2683752,"Smaller Cities, Counties, and Regional CoCs",154,154,27,12,101,23,245,18,28,43,803,86,19,26,39,34,10,9,16,514,544,42,1,19,668,262,178,174
2017,PA,Eastern Pennsylvania CoC,PA-509,11585801,"Smaller Cities, Counties, and Regional CoCs",1767,1113,91,30,140,43,2042,130,181,243,4368,544,58,260,283,470,151,94,224,3091,4261,189,50,12,4463,2529,1081,1022
2017,PA,Lancaster City & County CoC,PA-510,2296691,"Smaller Cities, Counties, and Regional CoCs",381,381,39,23,93,32,556,23,37,66,1623,74,5,8,13,202,28,35,56,1163,1366,58,11,12,785,266,154,149
2017,PA,"Bristol, Bensalem/Bucks County CoC",PA-511,1157695,"Smaller Cities, Counties, and Regional CoCs",449,442,67,45,233,81,368,7,19,44,1037,15,3,3,4,108,32,17,44,552,730,177,6,17,835,431,140,128
2017,PA,York City & County CoC,PA-512,1223485,"Smaller Cities, Counties, and Regional CoCs",309,309,22,14,61,25,819,85,114,185,1834,26,0,9,9,39,0,2,2,1304,1386,0,0,0,1582,633,146,118
2017,PA,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",PA-600,17220390,"Smaller Cities, Counties, and Regional CoCs",988,899,82,47,144,68,1739,67,93,111,3962,530,52,159,201,339,83,87,164,2835,3726,262,26,41,3657,1554,2189,2077
2017,PA,Western Pennsylvania CoC,PA-601,9160668,"Smaller Cities, Counties, and Regional CoCs",878,621,82,26,127,38,1663,84,141,237,1970,425,78,109,164,427,100,67,156,1352,2269,3,1,0,2275,1487,994,993
2017,PA,Beaver County CoC,PA-603,1283884,"Smaller Cities, Counties, and Regional CoCs",100,100,77,27,125,32,203,16,32,48,409,53,2,0,2,70,7,8,15,255,532,0,0,0,552,334,189,167
2017,PA,Erie City & County CoC,PA-605,2133084,"Smaller Cities, Counties, and Regional CoCs",318,318,52,31,74,37,592,84,115,153,1626,104,12,25,36,159,21,21,40,1021,1246,242,133,25,1407,683,458,413
2017,PR,Puerto Rico Balance of Commonwealth CoC,PR-502,13097961,Balance of State and Statewide CoCs,788,788,107,39,214,109,744,64,104,127,1696,795,87,105,174,704,94,218,284,830,1025,625,135,153,1320,593,1568,1507
2017,PR,South-Southeast Puerto Rico CoC,PR-503,5515253,"Smaller Cities, Counties, and Regional CoCs",434,434,218,77,225,94,733,30,59,92,961,183,11,14,24,144,31,18,44,541,783,417,99,129,823,539,568,522
2017,RI,Rhode Island Statewide CoC,RI-500,5561271,Balance of State and Statewide CoCs,907,761,81,46,106,55,1399,137,200,290,3427,500,34,156,180,183,26,47,63,2116,2525,446,68,75,2923,1202,1822,1751
2017,SC,Charleston/Low Country CoC,SC-500,1705708,"Smaller Cities, Counties, and Regional CoCs",323,260,50,26,67,42,693,56,90,124,1432,67,4,18,22,31,11,4,15,1061,1214,64,6,57,1241,518,135,133
2017,SC,"Greenville, Anderson, Spartanburg/Upstate CoC",SC-501,2820022,"Smaller Cities, Counties, and Regional CoCs",898,424,103,51,152,66,905,30,53,100,1495,151,5,53,58,100,15,23,36,976,1272,136,38,11,1485,787,207,197
2017,SC,Columbia/Midlands CoC,SC-502,3101397,"Smaller Cities, Counties, and Regional CoCs",910,846,58,27,82,37,1337,159,242,307,4208,216,7,101,105,206,42,38,72,2770,3099,304,58,25,3693,1255,878,843
2017,SC,"Myrtle Beach, Sumter City & County CoC",SC-503,1946301,"Smaller Cities, Counties, and Regional CoCs",452,385,55,18,74,23,1032,67,105,136,2126,98,4,18,21,315,85,34,118,1535,2012,101,24,29,2134,942,980,896
2017,SD,South Dakota Statewide CoC,SD-500,1241586,Balance of State and Statewide CoCs,958,300,94,13,199,22,463,40,60,89,2643,77,4,14,16,39,6,8,14,1625,1972,96,32,11,2292,585,265,240
2017,TN,Chattanooga/Southeast Tennessee CoC,TN-500,2550503,"Smaller Cities, Counties, and Regional CoCs",251,246,42,11,49,13,548,22,42,78,2473,247,17,99,111,144,15,29,40,1802,2081,169,4,18,1282,569,659,634
2017,TN,Memphis/Shelby County CoC,TN-501,6557779,Major Cities,1468,1433,41,7,101,16,1667,95,173,267,4430,394,21,127,143,692,184,72,241,3017,3662,354,81,130,4228,1860,853,808
2017,TN,Knoxville/Knox County CoC,TN-502,1373859,"Smaller Cities, Counties, and Regional CoCs",665,593,39,11,60,19,1119,169,211,258,3611,132,5,39,44,482,90,33,114,2225,2537,178,11,125,1288,912,390,348
2017,TN,Central Tennessee CoC,TN-503,1783153,"Smaller Cities, Counties, and Regional CoCs",235,235,69,19,120,45,505,18,28,36,666,33,1,0,1,258,21,11,31,493,648,1,0,1,567,265,186,145
2017,TN,Nashville-Davidson County CoC,TN-504,3107210,Major Cities,1698,1671,32,9,154,88,1526,59,95,121,1534,402,53,151,190,274,93,74,150,1010,1744,298,101,47,1745,1255,1637,1402
2017,TN,Upper Cumberland CoC,TN-506,713437,"Smaller Cities, Counties, and Regional CoCs",206,39,117,63,98,65,301,4,14,19,124,38,4,13,14,36,8,12,18,101,479,62,4,33,503,353,128,121
2017,TN,Jackson/West Tennessee CoC,TN-507,1467428,"Smaller Cities, Counties, and Regional CoCs",105,89,40,23,70,34,505,7,9,15,298,105,9,35,42,130,39,35,69,248,528,233,76,110,321,262,418,406
2017,TN,Appalachian Regional CoC,TN-509,1496330,"Smaller Cities, Counties, and Regional CoCs",477,204,25,8,41,9,400,23,35,47,1206,114,2,29,31,42,7,16,23,886,1106,0,0,0,1178,337,245,232
2017,TN,Murfreesboro/Rutherford County CoC,TN-510,616756,"Smaller Cities, Counties, and Regional CoCs",230,119,45,10,48,10,70,5,14,18,708,49,2,16,17,36,9,13,19,804,904,14,2,7,576,184,188,172
2017,TN,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",TN-512,485154,"Smaller Cities, Counties, and Regional CoCs",286,58,38,24,54,30,269,2,8,17,397,22,3,4,7,23,3,10,13,320,645,54,14,13,844,321,0,0
2017,TX,San Antonio/Bexar County CoC,TX-500,8867223,Major Cities,2038,2020,104,44,138,64,3148,375,553,774,6189,208,18,59,67,288,107,45,136,2668,3656,973,185,37,4723,1962,1853,1778
2017,TX,Austin/Travis County CoC,TX-503,5763762,Major Cities,1070,1070,72,37,90,44,1445,114,165,249,4491,297,12,105,114,74,9,40,46,2724,3039,231,3,7,3943,1066,1417,1329
2017,TX,"Dallas City & County, Irving CoC",TX-600,15725259,Major Cities,2848,1154,105,88,111,178,4066,306,456,682,10396,1428,167,505,506,679,113,244,248,7757,11368,1057,154,79,8560,1022,3619,3440
2017,TX,"Fort Worth, Arlington/Tarrant County CoC",TX-601,11923476,Major Cities,1615,1197,101,19,126,26,1678,129,209,324,5804,972,18,63,77,31,17,6,22,5601,6154,127,12,55,5419,1089,1807,1799
2017,TX,El Paso City & County CoC,TX-603,2474084,Major Cities,1158,773,51,23,90,39,901,66,119,191,2705,43,2,11,12,223,100,44,125,1857,2187,61,9,39,2618,1547,82,78
2017,TX,Waco/McLennan County CoC,TX-604,964841,"Smaller Cities, Counties, and Regional CoCs",149,128,31,8,46,12,159,11,15,21,1013,40,2,10,12,64,15,5,20,706,747,8,1,3,916,130,81,73
2017,TX,Texas Balance of State CoC,TX-607,5854328,Balance of State and Statewide CoCs,2830,1818,42,16,57,20,2798,206,322,449,9754,160,18,60,74,269,50,32,80,7217,8715,1671,559,111,9750,3514,347,322
2017,TX,Amarillo CoC,TX-611,603751,"Smaller Cities, Counties, and Regional CoCs",631,631,164,41,171,42,0,0,0,0,2414,65,0,0,0,66,0,0,0,1486,1544,6,1,2,1686,228,337,207
2017,TX,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",TX-624,306206,"Smaller Cities, Counties, and Regional CoCs",313,277,32,10,32,10,33,0,2,4,190,24,3,1,4,2,0,1,1,0,0,1,0,1,404,125,24,24
2017,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",TX-700,32456552,Major Cities,2749,2704,45,14,84,22,3681,353,544,785,13164,959,151,261,373,946,240,194,379,8762,10416,4611,63,2022,12761,3453,3305,3052
2017,TX,"Bryan, College Station/Brazos Valley CoC",TX-701,285591,"Smaller Cities, Counties, and Regional CoCs",118,118,57,28,57,28,212,12,15,31,691,0,0,0,0,0,0,0,0,535,576,0,0,0,618,165,0,0
2017,UT,Salt Lake City & County CoC,UT-500,7146067,"Smaller Cities, Counties, and Regional CoCs",1458,1330,67,28,77,32,2567,524,792,1007,9081,380,28,78,103,161,26,31,54,4851,5457,1946,21,21,7199,1221,2142,2008
2017,UT,Utah Balance of State CoC,UT-503,1858855,Balance of State and Statewide CoCs,524,468,39,15,42,16,1744,212,308,421,3892,56,0,3,3,192,66,20,81,2747,3566,43,8,5,4056,1740,264,230
2017,UT,Provo/Mountainland CoC,UT-504,1059020,"Smaller Cities, Counties, and Regional CoCs",98,98,11,4,24,4,544,116,160,210,1272,51,4,23,25,93,19,30,44,918,1110,84,0,0,1248,483,248,214
2017,VA,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",VA-500,4495669,"Smaller Cities, Counties, and Regional CoCs",615,564,39,19,47,21,1594,189,322,416,3190,205,6,32,33,187,36,18,50,2028,2160,288,58,101,2848,1175,519,493
2017,VA,"Norfolk/Chesapeake, Suffolk, Isle of Wight, Southampton Counties CoC",VA-501,3770092,"Smaller Cities, Counties, and Regional CoCs",505,173,52,30,63,35,930,28,43,85,2028,166,14,77,87,175,66,38,88,1409,1644,248,56,67,1937,820,500,490
2017,VA,"Roanoke City & County, Salem CoC",VA-502,805322,"Smaller Cities, Counties, and Regional CoCs",412,402,37,17,39,17,382,38,81,122,2143,15,0,4,4,70,3,38,40,1584,1691,1068,85,456,2109,384,141,123
2017,VA,Virginia Beach CoC,VA-503,1642276,Major Cities,207,206,59,31,113,59,549,25,50,77,838,108,18,58,69,103,31,49,68,538,679,170,29,48,827,489,491,463
2017,VA,Charlottesville CoC,VA-504,356702,"Smaller Cities, Counties, and Regional CoCs",82,24,35,8,63,17,159,22,40,46,298,55,1,11,12,27,4,2,6,214,219,0,0,0,280,99,70,60
2017,VA,"Newport News, Hampton/Virginia Peninsula CoC",VA-505,1955738,"Smaller Cities, Counties, and Regional CoCs",295,193,67,27,92,32,679,37,57,73,1142,112,13,37,46,31,0,13,13,763,1148,59,25,10,1362,677,354,333
2017,VA,Portsmouth CoC,VA-507,1168615,"Smaller Cities, Counties, and Regional CoCs",54,48,,,,,0,0,0,0,,,,,,,,,,0,0,,,,,,,
2017,VA,Lynchburg CoC,VA-508,357393,"Smaller Cities, Counties, and Regional CoCs",124,124,42,23,45,23,350,18,41,65,709,26,5,15,18,16,5,5,9,530,604,0,0,0,679,264,18,15
2017,VA,"Harrisburg, Winchester/Western Virginia CoC",VA-513,362880,"Smaller Cities, Counties, and Regional CoCs",239,137,61,41,61,41,297,11,34,42,407,26,2,9,10,8,0,3,3,294,446,0,0,0,514,313,82,74
2017,VA,"Fredericksburg/Spotsylvania, Stafford Counties CoC",VA-514,298606,"Smaller Cities, Counties, and Regional CoCs",126,126,54,44,55,45,400,47,57,77,830,13,1,4,5,22,6,5,10,597,659,202,12,79,751,335,67,61
2017,VA,Virginia Balance of State CoC,VA-521,928840,Balance of State and Statewide CoCs,520,270,41,24,41,24,1446,66,128,187,1587,30,0,6,6,169,13,10,19,1180,2084,15,0,4,2243,1298,61,55
2017,VA,Arlington County CoC,VA-600,2611996,"Smaller Cities, Counties, and Regional CoCs",198,198,133,105,143,109,307,19,27,48,562,65,4,13,16,11,5,2,6,143,195,54,3,29,571,327,270,260
2017,VA,Fairfax County CoC,VA-601,8744225,"Smaller Cities, Counties, and Regional CoCs",597,597,63,46,90,50,1713,191,305,440,3043,294,34,153,170,60,8,36,39,1901,2166,591,71,123,2708,1304,683,625
2017,VA,Loudoun County CoC,VA-602,177752,"Smaller Cities, Counties, and Regional CoCs",82,82,58,53,77,56,517,25,43,56,406,23,4,5,9,41,9,5,12,359,422,26,3,4,535,305,25,25
2017,VA,Alexandria CoC,VA-603,826462,"Smaller Cities, Counties, and Regional CoCs",192,192,87,58,118,68,353,29,41,54,752,34,3,11,13,13,0,2,2,436,451,22,8,1,588,220,55,50
2017,VA,Prince William County CoC,VA-604,552650,"Smaller Cities, Counties, and Regional CoCs",320,320,41,31,97,39,680,47,85,143,1434,15,1,7,8,38,14,7,17,967,1103,15,0,0,1281,661,39,36
