year,coc_name,coc_number,ahar_part_1_coc_category
2015,Idaho Balance of State,ID-501,Balance of State and Statewide CoCs
2016,Idaho Balance of State,ID-501,Balance of State and Statewide CoCs
2017,McHenry County,IL-500,"Smaller Cities, Counties, and Regional CoCs"
2015,McHenry County,IL-500,"Smaller Cities, Counties, and Regional CoCs"
2016,McHenry County,IL-500,"Smaller Cities, Counties, and Regional CoCs"
2016,"Rockford/Winnebago, Boone Counties",IL-501,"Smaller Cities, Counties, and Regional CoCs"
2017,"Rockford/Winnebago, Boone Counties",IL-501,"Smaller Cities, Counties, and Regional CoCs"
2015,"Rockford/Winnebago, Boone Counties",IL-501,"Smaller Cities, Counties, and Regional CoCs"
2015,Waukegan/North Chicago/Lake County,IL-502,"Smaller Cities, Counties, and Regional CoCs"
2017,"Waukegan, North Chicago/Lake County",IL-502,"Smaller Cities, Counties, and Regional CoCs"
2016,"Waukegan, North Chicago/Lake County",IL-502,"Smaller Cities, Counties, and Regional CoCs"
2017,"Champaign, Urbana, Rantoul/Champaign County",IL-503,"Smaller Cities, Counties, and Regional CoCs"
2016,"Champaign, Urbana, Rantoul/Champaign County",IL-503,"Smaller Cities, Counties, and Regional CoCs"
2015,Champaign/Urbana/Rantoul/Champaign County,IL-503,"Smaller Cities, Counties, and Regional CoCs"
2016,Madison County,IL-504,"Smaller Cities, Counties, and Regional CoCs"
2017,Madison County,IL-504,"Smaller Cities, Counties, and Regional CoCs"
2015,Madison County,IL-504,"Smaller Cities, Counties, and Regional CoCs"
2016,"Joliet, Bolingbrook/Will County",IL-506,"Smaller Cities, Counties, and Regional CoCs"
2017,"Joliet, Bolingbrook/Will County",IL-506,"Smaller Cities, Counties, and Regional CoCs"
2015,Joliet/Bolingbrook/Will County,IL-506,"Smaller Cities, Counties, and Regional CoCs"
2015,"Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford",IL-507,"Smaller Cities, Counties, and Regional CoCs"
2017,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties",IL-507,"Smaller Cities, Counties, and Regional CoCs"
2016,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties",IL-507,"Smaller Cities, Counties, and Regional CoCs"
2015,East Saint Louis/Belleville/Saint Clair County,IL-508,"Smaller Cities, Counties, and Regional CoCs"
2017,"East St. Louis, Belleville/St. Clair County",IL-508,"Smaller Cities, Counties, and Regional CoCs"
2016,"East St. Louis, Belleville/St. Clair County",IL-508,"Smaller Cities, Counties, and Regional CoCs"
2015,Dekalb City & County,IL-509,"Smaller Cities, Counties, and Regional CoCs"
2017,Dekalb City & County,IL-509,"Smaller Cities, Counties, and Regional CoCs"
2016,Dekalb City & County,IL-509,"Smaller Cities, Counties, and Regional CoCs"
2017,Chicago,IL-510,Major Cities
2015,Chicago,IL-510,Major Cities
2016,Chicago,IL-510,Major Cities
2017,Cook County,IL-511,"Smaller Cities, Counties, and Regional CoCs"
2016,Cook County,IL-511,"Smaller Cities, Counties, and Regional CoCs"
2015,Cook County,IL-511,"Smaller Cities, Counties, and Regional CoCs"
2016,Bloomington/Central Illinois,IL-512,"Smaller Cities, Counties, and Regional CoCs"
2015,Bloomington/Central Illinois,IL-512,"Smaller Cities, Counties, and Regional CoCs"
2017,Bloomington/Central Illinois,IL-512,"Smaller Cities, Counties, and Regional CoCs"
2016,Springfield/Sangamon County,IL-513,"Smaller Cities, Counties, and Regional CoCs"
2017,Springfield/Sangamon County,IL-513,"Smaller Cities, Counties, and Regional CoCs"
2015,Springfield/Sangamon County,IL-513,"Smaller Cities, Counties, and Regional CoCs"
2016,DuPage County,IL-514,"Smaller Cities, Counties, and Regional CoCs"
2015,DuPage County,IL-514,"Smaller Cities, Counties, and Regional CoCs"
2017,DuPage County,IL-514,"Smaller Cities, Counties, and Regional CoCs"
2017,South Central Illinois,IL-515,"Smaller Cities, Counties, and Regional CoCs"
2015,South Central Illinois,IL-515,"Smaller Cities, Counties, and Regional CoCs"
2016,South Central Illinois,IL-515,"Smaller Cities, Counties, and Regional CoCs"
2015,Decatur/Macon County,IL-516,"Smaller Cities, Counties, and Regional CoCs"
2016,Decatur/Macon County,IL-516,"Smaller Cities, Counties, and Regional CoCs"
2017,Decatur/Macon County,IL-516,"Smaller Cities, Counties, and Regional CoCs"
2017,"Aurora, Elgin/Kane County",IL-517,"Smaller Cities, Counties, and Regional CoCs"
2015,Aurora/Elgin/Kane County,IL-517,"Smaller Cities, Counties, and Regional CoCs"
2016,"Aurora, Elgin/Kane County",IL-517,"Smaller Cities, Counties, and Regional CoCs"
2015,Rock Island/Moline/Northwestern Illinois,IL-518,"Smaller Cities, Counties, and Regional CoCs"
2016,"Rock Island, Moline/Northwestern Illinois",IL-518,"Smaller Cities, Counties, and Regional CoCs"
2017,"Rock Island, Moline/Northwestern Illinois",IL-518,"Smaller Cities, Counties, and Regional CoCs"
2017,West Central Illinois,IL-519,"Smaller Cities, Counties, and Regional CoCs"
2016,West Central Illinois,IL-519,"Smaller Cities, Counties, and Regional CoCs"
2015,West Central Illinois,IL-519,"Smaller Cities, Counties, and Regional CoCs"
2016,Southern Illinois,IL-520,"Smaller Cities, Counties, and Regional CoCs"
2017,Southern Illinois,IL-520,"Smaller Cities, Counties, and Regional CoCs"
2015,Southern Illinois,IL-520,"Smaller Cities, Counties, and Regional CoCs"
2015,South Bend/Mishawaka/St. Joseph County,IN-500,"Smaller Cities, Counties, and Regional CoCs"
2016,South Bend/Mishawaka/St. Joseph County,IN-500,"Smaller Cities, Counties, and Regional CoCs"
2016,Indiana Balance of State,IN-502,Balance of State and Statewide CoCs
2017,Indiana Balance of State,IN-502,Balance of State and Statewide CoCs
2015,Indiana Balance of State,IN-502,Balance of State and Statewide CoCs
2016,Indianapolis,IN-503,Major Cities
2015,Indianapolis,IN-503,Major Cities
2017,Indianapolis,IN-503,Major Cities
2017,Wichita/Sedgwick County,KS-502,Major Cities
2015,Wichita/Sedgwick County,KS-502,Major Cities
2016,Wichita/Sedgwick County,KS-502,Major Cities
2016,Topeka/Shawnee County,KS-503,"Smaller Cities, Counties, and Regional CoCs"
2017,Topeka/Shawnee County,KS-503,"Smaller Cities, Counties, and Regional CoCs"
2015,Topeka/Shawnee County,KS-503,"Smaller Cities, Counties, and Regional CoCs"
2016,"Overland Park, Shawnee/Johnson County",KS-505,"Smaller Cities, Counties, and Regional CoCs"
2015,Overland Park/Shawnee/Johnson County,KS-505,"Smaller Cities, Counties, and Regional CoCs"
2017,"Overland Park, Shawnee/Johnson County",KS-505,"Smaller Cities, Counties, and Regional CoCs"
2016,Kansas Balance of State,KS-507,Balance of State and Statewide CoCs
2015,Kansas Balance of State,KS-507,Balance of State and Statewide CoCs
2017,Kansas Balance of State,KS-507,Balance of State and Statewide CoCs
2015,Kentucky Balance of State,KY-500,Balance of State and Statewide CoCs
2017,Kentucky Balance of State,KY-500,Balance of State and Statewide CoCs
2016,Kentucky Balance of State,KY-500,Balance of State and Statewide CoCs
2016,Louisville-Jefferson County,KY-501,Major Cities
2017,Louisville-Jefferson County,KY-501,Major Cities
2015,Louisville/Jefferson County,KY-501,Major Cities
2016,Lexington-Fayette County,KY-502,"Smaller Cities, Counties, and Regional CoCs"
2015,Lexington/Fayette County,KY-502,"Smaller Cities, Counties, and Regional CoCs"
2017,Lexington-Fayette County,KY-502,"Smaller Cities, Counties, and Regional CoCs"
2015,Lafayette/Acadiana,LA-500,"Smaller Cities, Counties, and Regional CoCs"
2016,Lafayette/Acadiana,LA-500,"Smaller Cities, Counties, and Regional CoCs"
2017,Lafayette/Acadiana,LA-500,"Smaller Cities, Counties, and Regional CoCs"
2015,Shreveport/Bossier/Northwest,LA-502,"Smaller Cities, Counties, and Regional CoCs"
2017,"Shreveport, Bossier/Northwest Louisiana",LA-502,"Smaller Cities, Counties, and Regional CoCs"
2016,"Shreveport, Bossier/Northwest Louisiana",LA-502,"Smaller Cities, Counties, and Regional CoCs"
2017,New Orleans/Jefferson Parish,LA-503,Major Cities
2016,New Orleans/Jefferson Parish,LA-503,Major Cities
2015,New Orleans/Jefferson Parish,LA-503,Major Cities
2017,Monroe/Northeast Louisiana,LA-505,"Smaller Cities, Counties, and Regional CoCs"
2016,Monroe/Northeast Louisiana,LA-505,"Smaller Cities, Counties, and Regional CoCs"
2015,Monroe/Northeast Louisiana,LA-505,"Smaller Cities, Counties, and Regional CoCs"
2015,Slidell/Southeast Louisiana,LA-506,"Smaller Cities, Counties, and Regional CoCs"
2016,Slidell/Southeast Louisiana,LA-506,"Smaller Cities, Counties, and Regional CoCs"
2017,Slidell/Southeast Louisiana,LA-506,"Smaller Cities, Counties, and Regional CoCs"
2015,Alexandria/Central Louisiana,LA-507,"Smaller Cities, Counties, and Regional CoCs"
2017,Alexandria/Central Louisiana,LA-507,"Smaller Cities, Counties, and Regional CoCs"
2016,Alexandria/Central Louisiana,LA-507,"Smaller Cities, Counties, and Regional CoCs"
2016,Houma-Terrebonne/Thibodaux,LA-508,"Smaller Cities, Counties, and Regional CoCs"
2015,Houma-Terrebonne/Thibodaux,LA-508,"Smaller Cities, Counties, and Regional CoCs"
2017,Louisiana Balance of State,LA-509,Balance of State and Statewide CoCs
2016,Louisiana Balance of State,LA-509,Balance of State and Statewide CoCs
2015,Louisiana Balance of State (BoS),LA-509,Balance of State and Statewide CoCs
2017,Boston,MA-500,Major Cities
2015,Boston,MA-500,Major Cities
2016,Boston,MA-500,Major Cities
2015,Lynn,MA-502,"Smaller Cities, Counties, and Regional CoCs"
2016,Lynn,MA-502,"Smaller Cities, Counties, and Regional CoCs"
2017,Lynn,MA-502,"Smaller Cities, Counties, and Regional CoCs"
2016,Cape Cod Islands,MA-503,"Smaller Cities, Counties, and Regional CoCs"
2017,Cape Cod Islands,MA-503,"Smaller Cities, Counties, and Regional CoCs"
2015,Cape Cod/Islands,MA-503,"Smaller Cities, Counties, and Regional CoCs"
2017,Springfield/Hampden County,MA-504,"Smaller Cities, Counties, and Regional CoCs"
2016,Springfield/Hampden County,MA-504,"Smaller Cities, Counties, and Regional CoCs"
2015,Springfield,MA-504,"Smaller Cities, Counties, and Regional CoCs"
2016,New Bedford,MA-505,"Smaller Cities, Counties, and Regional CoCs"
2015,New Bedford,MA-505,"Smaller Cities, Counties, and Regional CoCs"
2017,New Bedford,MA-505,"Smaller Cities, Counties, and Regional CoCs"
2017,Worcester City & County,MA-506,"Smaller Cities, Counties, and Regional CoCs"
2016,Worcester City & County,MA-506,"Smaller Cities, Counties, and Regional CoCs"
2015,Worcester City & County,MA-506,"Smaller Cities, Counties, and Regional CoCs"
2017,"Pittsfield/Berkshire, Franklin, Hampshire Counties",MA-507,"Smaller Cities, Counties, and Regional CoCs"
2015,Pittsfield/Berkshire County,MA-507,"Smaller Cities, Counties, and Regional CoCs"
2016,"Pittsfield/Berkshire, Franklin, Hampshire Counties",MA-507,"Smaller Cities, Counties, and Regional CoCs"
2015,Lowell,MA-508,"Smaller Cities, Counties, and Regional CoCs"
2016,Lowell,MA-508,"Smaller Cities, Counties, and Regional CoCs"
2017,Lowell,MA-508,"Smaller Cities, Counties, and Regional CoCs"
2016,Cambridge,MA-509,"Smaller Cities, Counties, and Regional CoCs"
2015,Cambridge,MA-509,"Smaller Cities, Counties, and Regional CoCs"
2017,Cambridge,MA-509,"Smaller Cities, Counties, and Regional CoCs"
2015,Gloucester/Haverhill/Salem/Essex County,MA-510,"Smaller Cities, Counties, and Regional CoCs"
2016,"Gloucester, Haverhill, Salem/Essex County",MA-510,"Smaller Cities, Counties, and Regional CoCs"
2017,"Gloucester, Haverhill, Salem/Essex County",MA-510,"Smaller Cities, Counties, and Regional CoCs"
2015,Quincy/Brockton/Weymouth/Plymouth City and County,MA-511,"Smaller Cities, Counties, and Regional CoCs"
2016,"Quincy, Brockton, Weymouth, Plymouth City and County",MA-511,"Smaller Cities, Counties, and Regional CoCs"
2017,"Quincy, Brockton, Weymouth, Plymouth City and County",MA-511,"Smaller Cities, Counties, and Regional CoCs"
2017,Fall River,MA-515,"Smaller Cities, Counties, and Regional CoCs"
2016,Fall River,MA-515,"Smaller Cities, Counties, and Regional CoCs"
2015,Fall River,MA-515,"Smaller Cities, Counties, and Regional CoCs"
2016,Massachusetts Balance of State,MA-516,Balance of State and Statewide CoCs
2015,Massachusetts Balance of State,MA-516,Balance of State and Statewide CoCs
2017,Massachusetts Balance of State,MA-516,Balance of State and Statewide CoCs
2015,Somerville,MA-517,"Smaller Cities, Counties, and Regional CoCs"
2017,Somerville,MA-517,"Smaller Cities, Counties, and Regional CoCs"
2016,Somerville,MA-517,"Smaller Cities, Counties, and Regional CoCs"
2016,"Attleboro, Taunton/Bristol County",MA-519,"Smaller Cities, Counties, and Regional CoCs"
2015,Attleboro/Taunton/Bristol County,MA-519,"Smaller Cities, Counties, and Regional CoCs"
2017,"Attleboro, Taunton/Bristol County",MA-519,"Smaller Cities, Counties, and Regional CoCs"
2015,Cumberland/Allegany County,MD-500,"Smaller Cities, Counties, and Regional CoCs"
2016,Cumberland/Allegany County,MD-500,"Smaller Cities, Counties, and Regional CoCs"
2017,Cumberland/Allegany County,MD-500,"Smaller Cities, Counties, and Regional CoCs"
2015,Baltimore City,MD-501,Major Cities
2017,Baltimore,MD-501,Major Cities
2016,Baltimore,MD-501,Major Cities
2015,Harford County,MD-502,"Smaller Cities, Counties, and Regional CoCs"
2016,Harford County,MD-502,"Smaller Cities, Counties, and Regional CoCs"
2017,Harford County,MD-502,"Smaller Cities, Counties, and Regional CoCs"
2017,Annapolis/Anne Arundel County,MD-503,"Smaller Cities, Counties, and Regional CoCs"
2016,Annapolis/Anne Arundel County,MD-503,"Smaller Cities, Counties, and Regional CoCs"
2015,Annapolis/Anne Arundel County,MD-503,"Smaller Cities, Counties, and Regional CoCs"
2016,Howard County,MD-504,"Smaller Cities, Counties, and Regional CoCs"
2017,Howard County,MD-504,"Smaller Cities, Counties, and Regional CoCs"
2015,Howard County,MD-504,"Smaller Cities, Counties, and Regional CoCs"
2015,Baltimore County,MD-505,"Smaller Cities, Counties, and Regional CoCs"
2016,Baltimore County,MD-505,"Smaller Cities, Counties, and Regional CoCs"
2017,Baltimore County,MD-505,"Smaller Cities, Counties, and Regional CoCs"
2017,Carroll County,MD-506,"Smaller Cities, Counties, and Regional CoCs"
2015,Carroll County,MD-506,"Smaller Cities, Counties, and Regional CoCs"
2016,Carroll County,MD-506,"Smaller Cities, Counties, and Regional CoCs"
2017,Cecil County,MD-507,"Smaller Cities, Counties, and Regional CoCs"
2015,Cecil County,MD-507,"Smaller Cities, Counties, and Regional CoCs"
2016,Cecil County,MD-507,"Smaller Cities, Counties, and Regional CoCs"
2016,"Charles, Calvert, St.Mary's Counties",MD-508,"Smaller Cities, Counties, and Regional CoCs"
2017,"Charles, Calvert, St.Mary's Counties",MD-508,"Smaller Cities, Counties, and Regional CoCs"
2015,"Charles, Calvert, St.Mary's Counties",MD-508,"Smaller Cities, Counties, and Regional CoCs"
2016,Frederick City & County,MD-509,"Smaller Cities, Counties, and Regional CoCs"
2017,Frederick City & County,MD-509,"Smaller Cities, Counties, and Regional CoCs"
2015,Frederick City & County,MD-509,"Smaller Cities, Counties, and Regional CoCs"
2015,Garrett County,MD-510,"Smaller Cities, Counties, and Regional CoCs"
2017,Garrett County,MD-510,"Smaller Cities, Counties, and Regional CoCs"
2016,Garrett County,MD-510,"Smaller Cities, Counties, and Regional CoCs"
2016,Mid-Shore Regional,MD-511,"Smaller Cities, Counties, and Regional CoCs"
2017,Mid-Shore Regional,MD-511,"Smaller Cities, Counties, and Regional CoCs"
2015,Mid-Shore Regional,MD-511,"Smaller Cities, Counties, and Regional CoCs"
2017,Hagerstown/Washington County,MD-512,"Smaller Cities, Counties, and Regional CoCs"
2015,Hagerstown/Washington County,MD-512,"Smaller Cities, Counties, and Regional CoCs"
2016,Hagerstown/Washington County,MD-512,"Smaller Cities, Counties, and Regional CoCs"
2015,Wicomico/Somerset/Worcester County,MD-513,"Smaller Cities, Counties, and Regional CoCs"
2016,"Wicomico, Somerset, Worcester Counties",MD-513,"Smaller Cities, Counties, and Regional CoCs"
2017,"Wicomico, Somerset, Worcester Counties",MD-513,"Smaller Cities, Counties, and Regional CoCs"
2016,Prince George's County,MD-600,"Smaller Cities, Counties, and Regional CoCs"
2015,Prince George`s County/Maryland,MD-600,"Smaller Cities, Counties, and Regional CoCs"
2017,Prince George's County,MD-600,"Smaller Cities, Counties, and Regional CoCs"
2015,Montgomery County,MD-601,"Smaller Cities, Counties, and Regional CoCs"
2017,Montgomery County,MD-601,"Smaller Cities, Counties, and Regional CoCs"
2016,Montgomery County,MD-601,"Smaller Cities, Counties, and Regional CoCs"
2017,Maine Statewide,ME-500,Balance of State and Statewide CoCs
2016,Maine Statewide,ME-500,Balance of State and Statewide CoCs
2015,Maine Balance of State,ME-500,Balance of State and Statewide CoCs
2015,Michigan Balance of State,MI-500,Balance of State and Statewide CoCs
2016,Michigan Balance of State,MI-500,Balance of State and Statewide CoCs
2017,Michigan Balance of State,MI-500,Balance of State and Statewide CoCs
2016,Detroit,MI-501,Major Cities
2015,Detroit,MI-501,Major Cities
2017,Detroit,MI-501,Major Cities
2015,Dearborn/Dearborn Heights/Westland/Wayne County,MI-502,"Smaller Cities, Counties, and Regional CoCs"
2017,"Dearborn, Dearborn Heights, Westland/Wayne County",MI-502,"Smaller Cities, Counties, and Regional CoCs"
2016,"Dearborn, Dearborn Heights, Westland/Wayne County",MI-502,"Smaller Cities, Counties, and Regional CoCs"
2017,"St. Clair Shores, Warren/Macomb County",MI-503,"Smaller Cities, Counties, and Regional CoCs"
2015,St. Clair Shores/Warren/Macomb County,MI-503,"Smaller Cities, Counties, and Regional CoCs"
2016,"St. Clair Shores, Warren/Macomb County",MI-503,"Smaller Cities, Counties, and Regional CoCs"
2017,"Pontiac, Royal Oak/Oakland County",MI-504,"Smaller Cities, Counties, and Regional CoCs"
2016,"Pontiac, Royal Oak/Oakland County",MI-504,"Smaller Cities, Counties, and Regional CoCs"
2015,Pontiac/Royal Oak/Oakland County,MI-504,"Smaller Cities, Counties, and Regional CoCs"
2017,Flint/Genesee County,MI-505,"Smaller Cities, Counties, and Regional CoCs"
2016,Flint/Genesee County,MI-505,"Smaller Cities, Counties, and Regional CoCs"
2015,Flint/Genesee County,MI-505,"Smaller Cities, Counties, and Regional CoCs"
2015,Grand Rapids/Wyoming/Kent County,MI-506,"Smaller Cities, Counties, and Regional CoCs"
2016,"Grand Rapids, Wyoming/Kent County",MI-506,"Smaller Cities, Counties, and Regional CoCs"
2017,"Grand Rapids, Wyoming/Kent County",MI-506,"Smaller Cities, Counties, and Regional CoCs"
2015,Portage/Kalamazoo City & County,MI-507,"Smaller Cities, Counties, and Regional CoCs"
2017,"Portage, Kalamazoo City & County",MI-507,"Smaller Cities, Counties, and Regional CoCs"
2016,"Portage, Kalamazoo City & County",MI-507,"Smaller Cities, Counties, and Regional CoCs"
2015,Lansing/East Lansing/Ingham County,MI-508,"Smaller Cities, Counties, and Regional CoCs"
2016,"Lansing, East Lansing/Ingham County",MI-508,"Smaller Cities, Counties, and Regional CoCs"
2017,"Lansing, East Lansing/Ingham County",MI-508,"Smaller Cities, Counties, and Regional CoCs"
2016,Washtenaw County,MI-509,"Smaller Cities, Counties, and Regional CoCs"
2015,Ann Arbor/Washtenaw County,MI-509,"Smaller Cities, Counties, and Regional CoCs"
2017,Washtenaw County,MI-509,"Smaller Cities, Counties, and Regional CoCs"
2016,Saginaw City & County,MI-510,"Smaller Cities, Counties, and Regional CoCs"
2015,Saginaw City & County,MI-510,"Smaller Cities, Counties, and Regional CoCs"
2017,Saginaw City & County,MI-510,"Smaller Cities, Counties, and Regional CoCs"
2015,Lenawee County,MI-511,"Smaller Cities, Counties, and Regional CoCs"
2016,Lenawee County,MI-511,"Smaller Cities, Counties, and Regional CoCs"
2017,Lenawee County,MI-511,"Smaller Cities, Counties, and Regional CoCs"
2016,"Grand Traverse, Antrim, Leelanau Counties",MI-512,"Smaller Cities, Counties, and Regional CoCs"
2015,"Grand Traverse, Antrim, Leelanau Counties",MI-512,"Smaller Cities, Counties, and Regional CoCs"
2017,"Grand Traverse, Antrim, Leelanau Counties",MI-512,"Smaller Cities, Counties, and Regional CoCs"
2017,"Marquette, Alger Counties",MI-513,"Smaller Cities, Counties, and Regional CoCs"
2016,"Marquette, Alger Counties",MI-513,"Smaller Cities, Counties, and Regional CoCs"
2015,"Marquette, Alger Counties",MI-513,"Smaller Cities, Counties, and Regional CoCs"
2016,Battle Creek/Calhoun County,MI-514,"Smaller Cities, Counties, and Regional CoCs"
2017,Battle Creek/Calhoun County,MI-514,"Smaller Cities, Counties, and Regional CoCs"
2015,Battle Creek/Calhoun County,MI-514,"Smaller Cities, Counties, and Regional CoCs"
2016,Monroe City & County,MI-515,"Smaller Cities, Counties, and Regional CoCs"
2015,Monroe City & County,MI-515,"Smaller Cities, Counties, and Regional CoCs"
2017,Monroe City & County,MI-515,"Smaller Cities, Counties, and Regional CoCs"
2015,Norton Shores/Muskegon City & County,MI-516,"Smaller Cities, Counties, and Regional CoCs"
2017,"Norton Shores, Muskegon City & County",MI-516,"Smaller Cities, Counties, and Regional CoCs"
2016,"Norton Shores, Muskegon City & County",MI-516,"Smaller Cities, Counties, and Regional CoCs"
2017,Jackson City & County,MI-517,"Smaller Cities, Counties, and Regional CoCs"
2016,Jackson City & County,MI-517,"Smaller Cities, Counties, and Regional CoCs"
2015,Jackson City & County,MI-517,"Smaller Cities, Counties, and Regional CoCs"
2017,Livingston County,MI-518,"Smaller Cities, Counties, and Regional CoCs"
2015,Livingston County,MI-518,"Smaller Cities, Counties, and Regional CoCs"
2016,Livingston County,MI-518,"Smaller Cities, Counties, and Regional CoCs"
2016,Holland/Ottawa County,MI-519,"Smaller Cities, Counties, and Regional CoCs"
2017,Holland/Ottawa County,MI-519,"Smaller Cities, Counties, and Regional CoCs"
2015,Holland/Ottawa County,MI-519,"Smaller Cities, Counties, and Regional CoCs"
2016,Eaton County,MI-523,"Smaller Cities, Counties, and Regional CoCs"
2015,Eaton County,MI-523,"Smaller Cities, Counties, and Regional CoCs"
2017,Eaton County,MI-523,"Smaller Cities, Counties, and Regional CoCs"
2015,Minneapolis/Hennepin County,MN-500,Major Cities
2017,Minneapolis/Hennepin County,MN-500,Major Cities
2016,Minneapolis/Hennepin County,MN-500,Major Cities
2017,Saint Paul/Ramsey County,MN-501,"Smaller Cities, Counties, and Regional CoCs"
2015,Saint Paul/Ramsey County,MN-501,"Smaller Cities, Counties, and Regional CoCs"
2016,Saint Paul/Ramsey County,MN-501,"Smaller Cities, Counties, and Regional CoCs"
2016,Rochester/Southeast Minnesota,MN-502,"Smaller Cities, Counties, and Regional CoCs"
2017,Rochester/Southeast Minnesota,MN-502,"Smaller Cities, Counties, and Regional CoCs"
2015,Rochester/Southeast Minnesota,MN-502,"Smaller Cities, Counties, and Regional CoCs"
2016,"Dakota, Anoka, Washington, Scott, Carver Counties",MN-503,"Smaller Cities, Counties, and Regional CoCs"
2015,"Dakota, Anoka, Washington, Scott, Carver Counties",MN-503,"Smaller Cities, Counties, and Regional CoCs"
2017,"Dakota, Anoka, Washington, Scott, Carver Counties",MN-503,"Smaller Cities, Counties, and Regional CoCs"
2017,Northeast Minnesota,MN-504,"Smaller Cities, Counties, and Regional CoCs"
2016,Northeast Minnesota,MN-504,"Smaller Cities, Counties, and Regional CoCs"
2015,Northeast Minnesota,MN-504,"Smaller Cities, Counties, and Regional CoCs"
2016,St. Cloud/Central Minnesota,MN-505,"Smaller Cities, Counties, and Regional CoCs"
2017,St. Cloud/Central Minnesota,MN-505,"Smaller Cities, Counties, and Regional CoCs"
2015,St. Cloud/Central Minnesota,MN-505,"Smaller Cities, Counties, and Regional CoCs"
2016,Northwest Minnesota,MN-506,"Smaller Cities, Counties, and Regional CoCs"
2015,Northwest Minnesota,MN-506,"Smaller Cities, Counties, and Regional CoCs"
2017,Northwest Minnesota,MN-506,"Smaller Cities, Counties, and Regional CoCs"
2016,Moorhead/West Central Minnesota,MN-508,"Smaller Cities, Counties, and Regional CoCs"
2015,Moorhead/West Central Minnesota,MN-508,"Smaller Cities, Counties, and Regional CoCs"
2017,Moorhead/West Central Minnesota,MN-508,"Smaller Cities, Counties, and Regional CoCs"
2017,Duluth/St.Louis County,MN-509,"Smaller Cities, Counties, and Regional CoCs"
2015,Duluth/St.Louis County,MN-509,"Smaller Cities, Counties, and Regional CoCs"
2016,Duluth/St.Louis County,MN-509,"Smaller Cities, Counties, and Regional CoCs"
2016,Southwest Minnesota,MN-511,"Smaller Cities, Counties, and Regional CoCs"
2017,Southwest Minnesota,MN-511,"Smaller Cities, Counties, and Regional CoCs"
2015,Southwest Minnesota,MN-511,"Smaller Cities, Counties, and Regional CoCs"
2015,St. Louis County,MO-500,"Smaller Cities, Counties, and Regional CoCs"
2016,St. Louis County,MO-500,"Smaller Cities, Counties, and Regional CoCs"
2017,St. Louis County,MO-500,"Smaller Cities, Counties, and Regional CoCs"
2017,St.Louis City,MO-501,"Smaller Cities, Counties, and Regional CoCs"
2016,St.Louis City,MO-501,"Smaller Cities, Counties, and Regional CoCs"
2015,St.Louis City,MO-501,"Smaller Cities, Counties, and Regional CoCs"
2017,"St. Charles City & County, Lincoln, Warren Counties",MO-503,"Smaller Cities, Counties, and Regional CoCs"
2015,"St. Charles, Lincoln, Warren Counties",MO-503,"Smaller Cities, Counties, and Regional CoCs"
2016,"St. Charles City & County, Lincoln, Warren Counties",MO-503,"Smaller Cities, Counties, and Regional CoCs"
2015,"Springfield/Greene, Christian, Webster Counties",MO-600,"Smaller Cities, Counties, and Regional CoCs"
2016,"Springfield/Greene, Christian, Webster Counties",MO-600,"Smaller Cities, Counties, and Regional CoCs"
2017,"Springfield/Greene, Christian, Webster Counties",MO-600,"Smaller Cities, Counties, and Regional CoCs"
2015,"Joplin/Jasper, Newton Counties",MO-602,"Smaller Cities, Counties, and Regional CoCs"
2017,"Joplin/Jasper, Newton Counties",MO-602,"Smaller Cities, Counties, and Regional CoCs"
2016,"Joplin/Jasper, Newton Counties",MO-602,"Smaller Cities, Counties, and Regional CoCs"
2017,"St. Joseph/Andrew, Buchanan, DeKalb Counties",MO-603,"Smaller Cities, Counties, and Regional CoCs"
2016,"St. Joseph/Andrew, Buchanan, DeKalb Counties",MO-603,"Smaller Cities, Counties, and Regional CoCs"
2015,"St. Joseph/Andrew, Buchanan, DeKalb Counties",MO-603,"Smaller Cities, Counties, and Regional CoCs"
2016,Kansas City/Wyandotte County,MO-604K,Major Cities
2015,Kansas City/Wyandotte County,MO-604K,Major Cities
2017,Kansas City/Independence/Lee's Summit/Jackson County,MO-604M,Major Cities
2016,Kansas City/Independence/Lee's Summit/Jackson County,MO-604M,Major Cities
2015,Kansas City/Independence/Lee's Summit/Jackson County,MO-604M,Major Cities
2016,Missouri Balance of State,MO-606,Balance of State and Statewide CoCs
2017,Missouri Balance of State,MO-606,Balance of State and Statewide CoCs
2015,Missouri Balance of State,MO-606,Balance of State and Statewide CoCs
2017,Northern Mariana Islands,MP-500,Balance of State and Statewide CoCs
2016,Northern Mariana Islands,MP-500,Balance of State and Statewide CoCs
2016,"Jackson/Rankin, Madison Counties",MS-500,"Smaller Cities, Counties, and Regional CoCs"
2015,"Jackson/Rankin, Madison Counties",MS-500,"Smaller Cities, Counties, and Regional CoCs"
2017,"Jackson/Rankin, Madison Counties",MS-500,"Smaller Cities, Counties, and Regional CoCs"
2015,Mississippi Balance of State,MS-501,Balance of State and Statewide CoCs
2017,Mississippi Balance of State,MS-501,Balance of State and Statewide CoCs
2016,Mississippi Balance of State,MS-501,Balance of State and Statewide CoCs
