year,cocnumber,doe_total_count,doe_unsheltered,doe_sheltered,doe_hotel_motel,doe_doubled_up
2014,UT-500,6358,82,709,204,5359
2017,UT-500,6953,128,694,194,5937
2016,UT-500,6781,85,734,210,5729
2015,UT-500,6623,98,684,168,5599
2017,UT-503,6368,520,287,198,5325
2016,UT-503,5844,463,214,165,4937
2015,UT-503,5978,208,204,176,4914
2014,UT-503,5701,210,185,173,4740
2016,UT-504,2454,65,21,48,2299
2017,UT-504,2099,62,13,34,1954
2014,UT-504,2509,43,32,59,2312
2015,UT-504,2391,49,32,55,2242
2016,VA-500,3228,34,270,527,2378
2017,VA-500,3236,48,190,566,2423
2015,VA-500,2910,15,245,373,2109
2014,VA-500,3221,14,285,525,2390
2016,VA-501,990,52,99,244,529
2015,VA-501,840,28,98,232,437
2017,VA-501,1271,45,139,327,760
2014,VA-501,822,51,111,169,445
2014,VA-502,801,0,167,106,513
2017,VA-502,600,0,117,85,386
2016,VA-502,708,0,141,82,477
2015,VA-502,771,8,202,88,473
2016,VA-503,738,14,93,236,395
2014,VA-503,822,17,145,201,459
2017,VA-503,886,16,86,332,452
2015,VA-503,815,14,137,198,466
2017,VA-504,520,18,44,59,394
2015,VA-504,497,45,45,23,365
2014,VA-504,568,130,50,35,349
2016,VA-504,510,23,42,37,342
2015,VA-505,1810,12,78,511,1159
2014,VA-505,1914,6,30,574,1202
2016,VA-505,1609,6,72,422,1064
2017,VA-505,1747,8,63,460,1187
2017,VA-507,266,0,0,96,127
2016,VA-507,195,0,37,37,121
2015,VA-507,194,0,36,47,111
2014,VA-507,201,0,0,81,96
2016,VA-508,402,0,62,6,307
2017,VA-508,465,5,59,25,331
2015,VA-508,434,8,64,13,331
2014,VA-508,428,10,13,11,390
2015,VA-513,782,13,69,141,540
2016,VA-513,838,4,63,141,593
2017,VA-513,830,0,71,137,601
2014,VA-513,771,6,97,136,502
2015,VA-514,1272,0,58,348,841
2016,VA-514,1304,17,13,323,866
2014,VA-514,1304,15,81,205,992
2017,VA-514,1325,20,84,397,824
2017,VA-521,3352,11,288,321,2549
2016,VA-521,3422,18,296,306,2504
2015,VA-521,3319,17,349,317,2422
2014,VA-521,3180,23,325,257,2380
2014,VA-600,225,0,105,13,107
2015,VA-600,224,0,127,15,82
2017,VA-600,214,0,123,10,71
2016,VA-600,193,0,127,0,0
2014,VA-601,2348,7,468,125,1748
2015,VA-601,2275,7,444,124,1700
2016,VA-601,2312,8,399,136,1769
2017,VA-601,3257,6,467,134,2650
2015,VA-602,1325,10,73,67,1175
2016,VA-602,1833,7,70,52,1704
2014,VA-602,1105,25,93,45,942
2017,VA-602,2286,0,74,56,2156
2015,VA-603,183,0,57,17,109
2016,VA-603,171,0,45,6,120
2014,VA-603,197,0,51,26,120
2017,VA-603,142,0,55,13,74
2015,VA-604,632,10,161,118,315
2017,VA-604,615,7,135,115,339
2014,VA-604,573,3,151,96,296
2016,VA-604,530,14,150,121,241
2016,VT-500,911,34,61,159,575
2015,VT-500,906,21,27,192,590
2017,VT-500,862,53,87,150,477
2014,VT-500,858,11,46,170,569
2016,VT-501,177,0,55,21,73
2015,VT-501,213,0,49,25,111
2014,VT-501,280,8,54,58,128
2017,VT-501,222,4,59,33,112
2015,WA-500,7066,214,1947,509,4364
2014,WA-500,6213,164,1729,417,3840
2017,WA-500,9258,352,2321,593,5970
2016,WA-500,8244,299,2077,527,5308
2016,WA-501,14550,808,1548,629,11192
2015,WA-501,14160,730,1418,664,11062
2017,WA-501,14784,1174,1298,824,11189
2014,WA-501,12559,749,1535,567,9478
2017,WA-502,3042,89,395,106,2425
2015,WA-502,2933,75,459,93,2266
2014,WA-502,2926,80,508,90,2230
2016,WA-502,3047,111,504,157,2270
2016,WA-503,4093,250,639,363,2807
2017,WA-503,4599,346,454,356,3385
2014,WA-503,3737,132,535,216,2823
2015,WA-503,3694,143,712,320,2514
2016,WA-504,3787,257,718,282,2521
2017,WA-504,3908,368,525,306,2693
2015,WA-504,3231,178,697,203,2109
2014,WA-504,3088,244,639,192,1950
2014,WA-507,1985,21,221,99,1606
2016,WA-507,2621,24,117,100,2353
2015,WA-507,2153,15,149,68,1884
2017,WA-507,2549,36,152,108,2223
2015,WA-508,2256,98,309,141,1687
2017,WA-508,2803,233,253,121,2187
2014,WA-508,2012,67,337,134,1462
2016,WA-508,2822,172,332,176,2137
2016,WI-500,10836,154,1282,626,8324
2017,WI-500,10855,147,1418,653,8254
2015,WI-500,10408,154,1187,615,8042
2014,WI-500,10503,141,1346,597,8014
2017,WI-501,5093,29,811,168,4053
2015,WI-501,4225,55,666,198,3277
2016,WI-501,4864,26,889,138,3767
2014,WI-501,4480,19,724,148,3558
2016,WI-502,1068,5,124,77,851
2015,WI-502,1595,32,62,64,1430
2014,WI-502,2361,128,128,28,2074
2017,WI-502,1205,0,6,76,1046
2016,WI-503,1748,34,237,163,1302
2017,WI-503,1986,33,267,228,1433
2014,WI-503,2033,47,184,279,1484
2015,WI-503,2081,36,172,261,1564
2017,WV-500,294,3,67,3,217
2015,WV-500,316,19,162,3,128
2016,WV-500,345,0,151,0,175
2014,WV-500,151,10,64,0,66
2015,WV-501,471,8,242,5,221
2014,WV-501,396,10,197,15,169
2016,WV-501,351,0,128,0,219
2017,WV-501,367,0,71,0,280
2017,WV-503,1266,31,186,40,1007
2016,WV-503,1574,8,277,59,1226
2014,WV-503,1299,0,203,0,1056
2015,WV-503,1533,7,215,57,1253
2015,WV-508,6638,232,1643,112,4541
2016,WV-508,7045,187,1110,113,5258
2014,WV-508,5584,185,1325,71,3891
2017,WV-508,7097,216,1033,115,5614
2014,WY-500,1447,88,369,193,750
2017,WY-500,1953,11,471,165,1220
2016,WY-500,1689,45,362,149,940
2015,WY-500,1573,36,384,213,842
